Date,Price,Open,High,Low,Vol.,Change %
2016-05-23,"25,230.36","25,447.72","25,519.26","25,207.78",11.74K,-0.28%
2016-05-20,"25,301.90","25,428.42","25,506.06","25,251.90",13.99K,-0.39%
2016-05-19,"25,399.72","25,713.84","25,714.56","25,351.99",14.78K,-1.19%
2016-05-18,"25,704.61","25,671.48","25,747.00","25,503.40",10.09K,-0.27%
2016-05-17,"25,773.61","25,756.14","25,927.31","25,733.76",11.77K,0.47%
2016-05-16,"25,653.23","25,528.80","25,688.46","25,351.62",13.30K,0.64%
2016-05-13,"25,489.57","25,739.94","25,743.69","25,400.27",12.86K,-1.17%
2016-05-12,"25,790.22","25,684.60","25,827.03","25,620.27",10.07K,0.75%
2016-05-11,"25,597.02","25,548.97","25,762.49","25,409.24",9.59K,-0.68%
2016-05-10,"25,772.53","25,682.98","25,809.93","25,614.24",10.76K,0.33%
2016-05-09,"25,688.86","25,321.83","25,709.68","25,302.86",12.13K,1.82%
2016-05-06,"25,228.50","25,223.67","25,260.48","25,057.93",11.63K,-0.13%
2016-05-05,"25,262.21","25,187.66","25,394.10","25,162.94",11.74K,0.64%
2016-05-04,"25,101.73","25,210.87","25,245.70","25,061.04",16.32K,-0.51%
2016-05-03,"25,229.70","25,500.14","25,705.96","25,192.94",11.28K,-0.81%
2016-05-02,"25,436.97","25,565.44","25,565.44","25,341.14",7.95K,-0.66%
2016-04-29,"25,606.62","25,612.91","25,755.43","25,424.03",15.15K,0.01%
2016-04-28,"25,603.10","26,078.28","26,100.54","25,561.17",15.09K,-1.77%
2016-04-27,"26,064.12","25,956.42","26,092.93","25,885.24",11.52K,0.22%
2016-04-26,"26,007.30","25,604.92","26,055.00","25,549.05",11.55K,1.28%
2016-04-25,"25,678.93","25,891.03","25,891.03","25,585.93",8.49K,-0.62%
2016-04-22,"25,838.14","25,892.49","25,922.02","25,771.88",13.78K,-0.16%
2016-04-21,"25,880.38","25,979.68","26,080.07","25,783.12",18.67K,0.14%
2016-04-20,"25,844.18","25,942.34","25,956.34","25,716.81",11.64K,0.11%
2016-04-18,"25,816.36","25,833.16","25,870.03","25,634.12",8.81K,0.74%
2016-04-13,"25,626.75","25,358.42","25,671.50","25,358.42",15.00K,1.91%
2016-04-12,"25,145.59","25,056.47","25,180.02","24,996.44",11.90K,0.49%
2016-04-11,"25,022.16","24,789.40","25,049.92","24,523.20",26.72K,1.41%
2016-04-08,"24,673.84","24,665.80","24,736.03","24,608.51",10.00K,-0.05%
2016-04-07,"24,685.42","24,998.79","25,013.13","24,647.48",19.78K,-0.86%
2016-04-06,"24,900.63","24,978.86","25,000.65","24,834.16",10.59K,0.07%
2016-04-05,"24,883.59","25,372.44","25,372.44","24,837.51",15.31K,-2.03%
2016-04-04,"25,399.65","25,333.98","25,424.15","25,223.49",8.04K,0.51%
2016-04-01,"25,269.64","25,301.70","25,354.94","25,119.35",11.84K,-0.28%
2016-03-31,"25,341.86","25,364.75","25,479.62","25,223.22",11.92K,0.01%
2016-03-30,"25,338.58","25,062.06","25,358.84","25,055.42",11.05K,1.76%
2016-03-29,"24,900.46","24,957.24","25,079.35","24,835.56",11.29K,-0.26%
2016-03-28,"24,966.40","25,417.11","25,432.94","24,895.49",10.36K,-1.46%
2016-03-23,"25,337.56","25,322.10","25,367.81","25,156.82",9.78K,0.03%
2016-03-22,"25,330.49","25,331.01","25,381.33","25,083.70",12.43K,0.18%
2016-03-21,"25,285.37","25,007.56","25,327.45","24,988.27",12.80K,1.33%
2016-03-18,"24,952.74","24,729.41","24,986.94","24,681.64",14.55K,1.12%
2016-03-17,"24,677.37","24,852.18","24,948.30","24,576.52",15.14K,-0.02%
2016-03-16,"24,682.48","24,537.61","24,706.85","24,354.55",11.27K,0.53%
2016-03-15,"24,551.17","24,832.04","24,840.77","24,517.28",12.53K,-1.02%
2016-03-14,"24,804.28","24,801.70","24,960.51","24,734.04",31.03K,0.35%
2016-03-11,"24,717.99","24,620.39","24,817.80","24,552.26",15.33K,0.38%
2016-03-10,"24,623.34","24,815.70","24,817.48","24,471.39",14.81K,-0.69%
2016-03-09,"24,793.96","24,527.27","24,820.76","24,451.60",12.30K,0.55%
2016-03-08,"24,659.23","24,655.19","24,793.62","24,509.21",26.79K,0.05%
2016-03-04,"24,646.48","24,704.59","24,719.05","24,531.80",17.97K,0.16%
2016-03-03,"24,606.99","24,386.67","24,640.51","24,383.28",20.06K,1.50%
2016-03-02,"24,242.98","24,044.96","24,280.42","24,043.89",23.47K,1.95%
2016-03-01,"23,779.35","23,153.32","23,821.49","23,133.18",16.17K,3.38%
2016-02-29,"23,002.00","23,238.50","23,343.22","22,494.61",60.66K,-0.66%
2016-02-26,"23,154.30","23,141.08","23,227.91","23,021.94",11.92K,0.78%
2016-02-25,"22,976.00","23,105.16","23,142.96","22,948.10",16.37K,-0.49%
2016-02-24,"23,088.93","23,332.94","23,338.89","23,057.45",14.36K,-1.37%
2016-02-23,"23,410.18","23,850.41","23,851.51","23,361.94",17.23K,-1.59%
2016-02-22,"23,788.79","23,783.47","23,855.04","23,674.86",9.85K,0.34%
2016-02-19,"23,709.15","23,640.32","23,774.48","23,508.36",11.97K,0.25%
2016-02-18,"23,649.22","23,536.47","23,735.35","23,448.21",16.19K,1.14%
2016-02-17,"23,381.87","23,237.23","23,434.91","22,920.84",17.06K,0.82%
2016-02-16,"23,191.97","23,688.61","23,692.08","23,164.54",22.89K,-1.54%
2016-02-15,"23,554.12","23,223.43","23,622.64","23,197.67",21.01K,2.47%
2016-02-12,"22,986.12","23,060.39","23,161.15","22,600.39",25.94K,0.15%
2016-02-11,"22,951.83","23,758.46","23,758.46","22,909.12",23.89K,-3.40%
2016-02-10,"23,758.90","23,938.32","23,938.32","23,636.72",19.97K,-1.09%
2016-02-09,"24,020.98","24,076.85","24,111.19","23,919.47",11.86K,-1.10%
2016-02-08,"24,287.42","24,637.41","24,698.95","24,196.84",12.09K,-1.34%
2016-02-05,"24,616.97","24,360.36","24,672.90","24,345.79",13.81K,1.14%
2016-02-04,"24,338.43","24,386.45","24,514.01","24,224.74",12.61K,0.48%
2016-02-03,"24,223.32","24,393.59","24,409.26","24,187.54",12.62K,-1.29%
2016-02-02,"24,539.00","24,868.21","24,928.75","24,460.53",13.07K,-1.15%
