Date,Price,Open,High,Low,Vol.,Change %
2018-07-20,"28,224.48","28,054.76","28,294.74","27,745.85",2.52B,0.76%
2018-07-19,"28,010.86","28,251.16","28,329.98","27,998.36",1.54B,-0.38%
2018-07-18,"28,117.42","28,352.11","28,386.38","28,045.47",1.55B,-0.23%
2018-07-17,"28,181.68","28,451.50","28,460.87","28,137.95",1.75B,-1.25%
2018-07-16,"28,539.66","28,580.96","28,699.21","28,327.00",1.28B,0.05%
2018-07-13,"28,525.44","28,689.18","28,715.36","28,500.51",1.49B,0.16%
2018-07-12,"28,480.83","28,260.09","28,614.53","28,217.31",1.91B,0.60%
2018-07-11,"28,311.69","28,013.72","28,365.72","28,013.72",1.93B,-1.29%
2018-07-10,"28,682.25","28,900.71","28,981.93","28,682.25",1.72B,-0.02%
2018-07-09,"28,688.50","28,606.16","28,821.54","28,518.52",1.94B,1.32%
2018-07-06,"28,315.62","28,254.37","28,554.21","27,925.33",2.08B,0.47%
2018-07-05,"28,182.09","28,101.85","28,320.90","27,830.75",1.94B,-0.21%
2018-07-04,"28,241.67","28,546.32","28,642.34","28,141.28",2.17B,-1.06%
2018-07-03,"28,545.57","28,617.00","28,617.00","27,990.45",3.38B,-1.41%
2018-06-29,"28,955.11","28,463.85","28,962.29","28,463.85",2.46B,1.61%
2018-06-28,"28,497.32","28,368.01","28,567.29","28,169.10",2.65B,0.50%
2018-06-27,"28,356.26","28,957.64","28,988.83","28,342.82",2.65B,-1.82%
2018-06-26,"28,881.40","28,881.18","29,034.23","28,505.09",2.61B,-0.28%
2018-06-25,"28,961.39","29,326.12","29,403.36","28,895.40",2.37B,-1.29%
2018-06-22,"29,338.70","29,215.54","29,436.84","29,089.39",2.22B,0.15%
2018-06-21,"29,296.05","29,764.05","29,882.27","29,285.71",2.09B,-1.35%
2018-06-20,"29,696.17","29,478.46","29,944.30","29,406.20",2.30B,0.77%
2018-06-19,"29,468.15","29,999.01","30,012.04","29,332.28",3.67B,-2.78%
2018-06-15,"30,309.49","30,411.07","30,519.29","30,259.11",2.41B,-0.43%
2018-06-14,"30,440.17","30,684.07","30,777.96","30,349.96",2.19B,-0.93%
2018-06-13,"30,725.15","30,990.37","31,023.73","30,688.26",1.68B,-1.22%
2018-06-12,"31,103.06","31,029.85","31,242.86","30,944.97",1.42B,0.13%
2018-06-11,"31,063.70","31,016.52","31,134.03","30,898.57",1.36B,0.34%
2018-06-08,"30,958.21","31,435.26","31,435.26","30,874.10",1.77B,-1.76%
2018-06-07,"31,512.63","31,464.63","31,521.13","31,369.28",2.00B,0.81%
2018-06-06,"31,259.10","31,162.02","31,332.42","31,161.37",1.51B,0.53%
2018-06-05,"31,093.45","31,009.47","31,188.93","30,896.11",1.78B,0.31%
2018-06-04,"30,997.98","30,836.77","31,012.92","30,743.18",1.89B,1.66%
2018-06-01,"30,492.91","30,548.78","30,581.12","30,363.49",2.86B,0.08%
