Date,Price,Open,High,Low,Vol.,Change %
2015-08-13,"3,672.35","3,682.06","3,705.31","3,664.88",13.65M,0.97%
2015-08-12,"3,637.13","3,726.31","3,726.41","3,628.93",21.20M,-3.03%
2015-08-11,"3,750.84","3,795.12","3,797.00","3,749.09",19.89M,-1.53%
2015-08-10,"3,808.97","3,814.09","3,815.66","3,776.19",10.87M,0.31%
2015-08-07,"3,797.04","3,835.61","3,835.61","3,796.49",15.07M,-1.16%
2015-08-06,"3,841.48","3,847.55","3,853.21","3,834.91",11.17M,0.27%
2015-08-05,"3,831.25","3,811.66","3,843.07","3,811.26",12.79M,0.79%
2015-08-04,"3,801.21","3,796.60","3,804.00","3,778.11",12.74M,0.05%
2015-08-03,"3,799.34","3,769.88","3,802.88","3,766.90",13.81M,0.98%
2015-07-31,"3,762.64","3,759.96","3,762.64","3,736.28",14.75M,0.96%
2015-07-30,"3,726.85","3,729.72","3,732.87","3,704.45",20.81M,0.20%
2015-07-29,"3,719.38","3,724.24","3,734.42","3,701.26",16.02M,0.00%
2015-07-28,"3,719.40","3,704.61","3,726.25","3,684.34",16.64M,0.49%
2015-07-27,"3,701.38","3,752.11","3,757.06","3,699.59",13.82M,-1.89%
2015-07-24,"3,772.62","3,787.90","3,809.18","3,769.09",11.08M,-0.78%
2015-07-23,"3,802.38","3,827.11","3,827.11","3,788.09",9.49M,-0.10%
2015-07-22,"3,806.09","3,808.36","3,830.62","3,799.85",10.82M,-0.43%
2015-07-21,"3,822.62","3,852.12","3,859.70","3,816.97",9.64M,-0.69%
2015-07-20,"3,849.12","3,844.28","3,867.21","3,840.43",9.25M,0.39%
2015-07-17,"3,834.35","3,845.58","3,851.01","3,828.23",12.12M,-0.06%
2015-07-16,"3,836.47","3,803.99","3,845.43","3,799.50",13.64M,1.29%
2015-07-15,"3,787.60","3,754.69","3,790.18","3,753.99",11.11M,0.83%
2015-07-14,"3,756.25","3,746.81","3,756.25","3,731.83",10.96M,0.20%
2015-07-13,"3,748.87","3,707.00","3,752.35","3,707.00",13.95M,2.02%
2015-07-10,"3,674.60","3,652.49","3,680.13","3,638.12",15.88M,2.38%
2015-07-09,"3,589.22","3,514.35","3,596.57","3,513.15",13.76M,2.46%
2015-07-08,"3,503.10","3,482.61","3,518.24","3,479.46",15.44M,0.64%
2015-07-07,"3,480.86","3,549.19","3,549.19","3,480.12",18.04M,-1.58%
2015-07-06,"3,536.87","3,532.26","3,573.66","3,530.48",15.25M,-1.53%
2015-07-03,"3,591.97","3,621.00","3,625.47","3,576.88",10.86M,-0.89%
2015-07-02,"3,624.27","3,647.04","3,655.41","3,621.90",13.63M,-0.46%
2015-07-01,"3,641.09","3,610.84","3,667.05","3,589.85",19.28M,1.86%
2015-06-30,"3,574.70","3,604.51","3,632.44","3,574.70",21.01M,-1.28%
2015-06-29,"3,621.09","3,550.64","3,660.52","3,550.64",19.16M,-2.64%
2015-06-26,"3,719.44","3,693.43","3,736.93","3,683.43",13.87M,0.22%
2015-06-25,"3,711.31","3,687.34","3,742.69","3,685.91",15.61M,-0.23%
2015-06-24,"3,719.88","3,742.72","3,750.88","3,704.73",17.96M,-0.66%
2015-06-23,"3,744.68","3,710.80","3,763.00","3,700.16",15.22M,1.77%
2015-06-22,"3,679.44","3,649.30","3,683.00","3,638.22",17.43M,2.52%
2015-06-19,"3,589.07","3,585.86","3,627.93","3,581.10",25.67M,0.14%
2015-06-18,"3,584.11","3,557.30","3,584.15","3,518.47",13.53M,0.47%
2015-06-17,"3,567.51","3,595.20","3,606.05","3,553.88",12.60M,-0.66%
2015-06-16,"3,591.25","3,547.91","3,599.82","3,526.09",14.77M,0.51%
2015-06-15,"3,573.19","3,590.94","3,598.60","3,569.91",12.20M,-1.61%
2015-06-12,"3,631.76","3,662.90","3,664.89","3,606.97",15.88M,-1.10%
2015-06-11,"3,672.07","3,663.29","3,701.23","3,655.75",14.82M,0.23%
2015-06-10,"3,663.76","3,605.85","3,669.81","3,597.31",17.97M,1.49%
2015-06-09,"3,609.88","3,606.24","3,621.64","3,568.63",18.66M,-0.33%
2015-06-08,"3,621.89","3,653.44","3,655.99","3,621.89",13.36M,-0.68%
2015-06-05,"3,646.69","3,676.20","3,677.76","3,632.19",12.75M,-1.23%
2015-06-04,"3,692.07","3,708.55","3,716.97","3,664.26",15.04M,-0.80%
2015-06-03,"3,721.76","3,710.51","3,750.20","3,702.59",14.13M,0.87%
2015-06-02,"3,689.59","3,711.94","3,713.55","3,666.74",13.83M,-0.29%
2015-06-01,"3,700.43","3,717.97","3,728.99","3,694.92",10.64M,-0.22%
2015-05-29,"3,708.66","3,754.59","3,757.95","3,707.97",18.68M,-1.20%
2015-05-28,"3,753.62","3,743.53","3,761.40","3,733.59",11.72M,-0.20%
2015-05-27,"3,761.09","3,722.76","3,766.13","3,712.51",14.19M,1.25%
2015-05-26,"3,714.72","3,741.39","3,755.21","3,706.53",11.57M,-0.84%
2015-05-25,"3,746.30","3,762.52","3,763.62","3,737.04",3.63M,-0.52%
2015-05-22,"3,765.90","3,763.48","3,778.34","3,757.02",10.47M,0.10%
2015-05-21,"3,762.08","3,746.20","3,762.08","3,739.37",10.25M,0.27%
2015-05-20,"3,752.09","3,746.77","3,759.10","3,732.95",12.89M,0.28%
2015-05-19,"3,741.68","3,698.71","3,745.12","3,697.50",17.09M,1.52%
2015-05-18,"3,685.78","3,676.27","3,693.59","3,640.84",11.00M,0.32%
2015-05-15,"3,674.05","3,690.16","3,704.78","3,660.49",13.66M,-0.16%
2015-05-14,"3,679.90","3,648.98","3,687.02","3,634.28",11.31M,0.60%
2015-05-13,"3,657.91","3,680.41","3,696.98","3,650.28",21.92M,-0.34%
2015-05-12,"3,670.56","3,685.05","3,694.29","3,650.84",17.63M,-0.45%
2015-05-11,"3,687.19","3,669.27","3,693.45","3,665.18",15.05M,0.94%
2015-05-08,"3,652.87","3,625.84","3,656.18","3,603.82",17.33M,1.89%
2015-05-07,"3,585.26","3,581.27","3,593.06","3,532.39",19.91M,-0.10%
2015-05-06,"3,589.00","3,593.92","3,607.66","3,569.52",21.76M,-0.31%
2015-05-05,"3,600.20","3,668.78","3,697.15","3,599.65",21.76M,-1.97%
2015-05-04,"3,672.52","3,671.26","3,690.79","3,651.25",13.64M,-0.05%
2015-04-30,"3,674.18","3,687.20","3,708.94","3,660.02",18.97M,-0.79%
2015-04-29,"3,703.43","3,790.17","3,802.23","3,703.43",17.79M,-2.60%
2015-04-28,"3,802.25","3,841.41","3,843.74","3,775.41",15.86M,-1.09%
2015-04-27,"3,844.26","3,802.68","3,850.23","3,772.12",14.90M,1.16%
2015-04-24,"3,800.13","3,796.41","3,807.54","3,774.04",13.21M,0.37%
2015-04-23,"3,786.28","3,797.95","3,806.20","3,756.77",13.94M,-0.21%
2015-04-22,"3,794.29","3,824.02","3,841.35","3,774.93",11.85M,-0.89%
2015-04-21,"3,828.36","3,841.89","3,868.91","3,808.16",11.20M,0.05%
2015-04-20,"3,826.28","3,798.11","3,835.10","3,798.11",11.17M,1.08%
