Date,Price,Open,High,Low,Vol.,Change %
2019-06-27,557.53,559.43,559.89,554.38,70.10M,-0.13%
2019-06-26,558.24,557.06,561.04,557.06,77.28M,-0.01%
2019-06-25,558.32,558.28,559.63,557.82,64.75M,-0.31%
2019-06-24,560.07,562.02,564.61,559.44,56.15M,-0.41%
2019-06-21,562.39,563.8,565.4,560.71,126.83M,-0.23%
2019-06-20,563.71,564.72,566.67,563.71,74.73M,0.40%
2019-06-19,561.45,560.88,561.82,559.56,69.08M,0.22%
2019-06-18,560.21,551.65,561.69,548.28,85.97M,1.44%
2019-06-17,552.28,554.05,555.3,551.17,49.69M,-0.17%
2019-06-14,553.24,553.75,554.13,550.24,58.08M,-0.47%
2019-06-13,555.85,554.77,557.57,554.14,60.47M,-0.05%
2019-06-12,556.13,554.53,557.48,554.53,65.82M,-0.20%
2019-06-11,557.22,554.6,559.4,554.42,78.72M,0.69%
2019-06-10,553.4,552.45,554.28,551.72,38.91M,0.57%
2019-06-07,550.24,545.99,552.52,545.99,68.79M,1.09%
2019-06-06,544.32,544.37,548.48,542.79,78.92M,0.13%
2019-06-05,543.64,542.11,545.69,541.42,74.62M,0.46%
2019-06-04,541.15,537.54,542.25,536.24,94.44M,0.08%
2019-06-03,540.72,535.9,540.72,534.49,72.99M,0.04%
2019-05-31,540.49,540.5,540.91,537.48,68.92M,-0.91%
2019-05-30,545.43,543.06,546.89,543,45.17M,0.84%
2019-05-29,540.87,544.19,544.34,539.58,68.87M,-1.50%
2019-05-28,549.1,549.87,551.33,546.81,101.79M,-0.02%
2019-05-27,549.22,549.79,551.41,547.97,26.11M,0.37%
2019-05-24,547.21,545.83,549.49,545.18,62.76M,0.64%
2019-05-23,543.71,547.84,548.85,542.98,76.40M,-1.67%
2019-05-22,552.97,552.4,554.42,548.75,58.30M,-0.03%
2019-05-21,553.14,553.31,555.44,551.58,63.96M,0.32%
2019-05-20,551.37,556.76,558.69,549.36,65.77M,-1.17%
2019-05-17,557.91,556.77,558.86,554.4,65.96M,-0.22%
2019-05-16,559.15,550.98,559.15,549.37,69.34M,1.10%
2019-05-15,553.08,551.55,553.08,546,82.09M,0.44%
2019-05-14,550.65,545.97,550.65,544.73,66.22M,1.17%
2019-05-13,544.27,551.21,551.21,543.58,69.00M,-1.20%
2019-05-10,550.87,553.46,554.81,549.55,65.06M,0.23%
2019-05-09,549.59,555.08,556.54,548.41,72.96M,-1.67%
2019-05-08,558.93,555.86,559.82,554.64,76.99M,0.37%
2019-05-07,556.86,563.63,566.38,556.12,81.71M,-1.22%
2019-05-06,563.75,560.91,563.89,557.69,54.39M,-0.87%
2019-05-03,568.72,567.39,571.11,566.45,50.36M,0.39%
2019-05-02,566.51,568.87,569.54,566.06,77.28M,-0.89%
2019-04-30,571.6,567.47,571.6,567.19,76.64M,0.63%
2019-04-29,568.01,567.59,568.94,565.32,58.84M,0.15%
2019-04-26,567.18,565.92,567.71,564.66,76.92M,-0.07%
2019-04-25,567.59,567.04,568.62,565,65.82M,-0.14%
2019-04-24,568.41,569.32,570.36,567.21,83.29M,-0.39%
2019-04-23,570.64,568.83,570.93,567.5,80.11M,0.18%
2019-04-18,569.61,565.35,571.91,565.35,82.16M,0.60%
2019-04-17,566.19,565.89,568.28,564.93,87.03M,0.18%
2019-04-16,565.19,562.77,565.83,562.5,66.93M,0.47%
2019-04-15,562.57,562.39,563.85,561.28,58.37M,0.17%
2019-04-12,561.61,560.51,562.16,559.44,88.91M,-0.04%
2019-04-11,561.83,561.01,563.35,558.88,72.76M,0.00%
2019-04-10,561.85,559.85,562.25,559.67,73.61M,0.39%
2019-04-09,559.66,561.71,564.33,559.55,61.39M,-0.47%
2019-04-08,562.32,562.01,563.72,561.16,56.55M,-0.05%
2019-04-05,562.58,561.92,563.37,561.35,60.12M,0.18%
2019-04-04,561.55,560.46,562.46,559.7,51.21M,0.04%
2019-04-03,561.35,559.26,561.59,558.63,76.20M,0.97%
2019-04-02,555.94,554.62,557.33,554.59,68.88M,0.32%
2019-04-01,554.14,552.89,554.78,552.01,68.90M,0.94%
2019-03-29,548.98,547.36,549.01,546.08,77.61M,0.97%
2019-03-28,543.71,544.41,546.92,543.32,59.34M,-0.26%
2019-03-27,545.14,545.49,547.61,542.09,84.46M,-0.04%
2019-03-26,545.37,543.17,546.86,541.1,66.56M,0.78%
2019-03-25,541.16,540.55,543.27,538.7,71.09M,-0.50%
