Date,Price,Open,High,Low,Vol.,Change %
2018-04-23,"85,603","85,520","85,746","84,711",2.50M,0.06%
2018-04-20,"85,550","85,823","85,823","85,025",3.08M,-0.32%
2018-04-19,"85,824","85,775","86,059","85,197",3.63M,0.06%
2018-04-18,"85,776","84,090","86,149","84,090",4.33M,2.01%
2018-04-17,"84,086","82,862","84,191","82,810",2.71M,1.48%
2018-04-16,"82,862","84,328","84,591","82,762",3.00M,-1.75%
2018-04-13,"84,334","85,441","85,441","84,144",3.61M,-1.30%
2018-04-12,"85,444","85,246","85,577","85,025",2.92M,0.23%
2018-04-11,"85,246","84,494","85,417","84,340",3.47M,0.87%
2018-04-10,"84,510","83,312","84,538","83,312",3.63M,1.44%
2018-04-09,"83,307","84,832","85,110","83,155",3.27M,-1.78%
2018-04-06,"84,820","85,210","85,210","83,833",3.16M,-0.46%
2018-04-05,"85,210","84,374","86,148","84,374",4.39M,1.01%
2018-04-04,"84,360","84,610","84,610","82,826",3.04M,-0.31%
2018-04-03,"84,623","84,669","85,411","84,210",2.66M,-0.05%
2018-04-02,"84,666","85,365","85,675","84,166",2.68M,-0.82%
2018-03-29,"85,366","83,874","85,708","83,874",3.25M,1.78%
2018-03-28,"83,874","83,806","83,889","82,889",3.00M,0.08%
2018-03-27,"83,808","85,103","85,296","83,542",3.04M,-1.50%
2018-03-26,"85,088","84,377","85,553","84,357",2.43M,0.84%
2018-03-23,"84,377","84,766","85,450","84,042",3.28M,-0.46%
2018-03-22,"84,768","84,984","85,499","84,197",3.34M,-0.25%
2018-03-21,"84,977","84,166","85,145","84,080",3.36M,0.97%
2018-03-20,"84,164","83,919","84,412","83,682",2.76M,0.30%
2018-03-19,"83,913","84,886","84,886","83,678",3.43M,-1.15%
2018-03-16,"84,886","84,928","85,495","84,525",5.61M,-0.05%
2018-03-15,"84,928","86,051","86,051","84,720",3.96M,-1.30%
2018-03-14,"86,051","86,383","86,970","85,691",2.64M,-0.39%
2018-03-13,"86,384","86,902","87,333","86,119",2.82M,-0.59%
2018-03-12,"86,900","86,386","87,046","86,386",2.68M,0.61%
2018-03-09,"86,371","84,987","86,389","84,749",3.59M,1.63%
2018-03-08,"84,985","85,510","85,830","84,491",3.81M,-0.58%
2018-03-07,"85,484","85,653","85,653","84,397",3.56M,-0.20%
2018-03-06,"85,653","86,023","86,931","85,653",3.72M,-0.43%
2018-03-05,"86,023","85,761","86,165","85,053",3.53M,0.30%
2018-03-02,"85,761","85,378","85,761","83,897",4.00M,0.45%
2018-03-01,"85,378","85,337","86,260","84,640",4.48M,0.03%
2018-02-28,"85,354","86,939","87,109","85,199",6.13M,-1.82%
2018-02-27,"86,935","87,649","87,839","86,613",3.64M,-0.82%
2018-02-26,"87,653","87,296","88,318","87,242",4.17M,0.41%
2018-02-23,"87,293","86,690","87,345","86,138",4.31M,0.70%
2018-02-22,"86,686","86,050","87,159","86,050",3.65M,0.74%
2018-02-21,"86,052","85,804","87,358","85,804",4.96M,0.29%
2018-02-20,"85,804","84,792","86,290","84,261",4.20M,1.19%
2018-02-19,"84,793","84,525","84,956","84,525",2.15M,0.32%
2018-02-16,"84,525","84,291","84,575","83,824",3.58M,0.28%
2018-02-15,"84,291","83,551","84,686","83,551",3.60M,0.90%
2018-02-14,"83,543","80,901","83,782","80,901",4.03M,3.27%
2018-02-09,"80,899","81,532","81,897","79,690",4.42M,-0.78%
2018-02-08,"81,533","82,773","83,501","81,109",4.14M,-1.49%
2018-02-07,"82,767","83,894","84,410","82,548",4.01M,-1.34%
2018-02-06,"83,894","81,857","84,162","80,804",5.77M,2.48%
2018-02-05,"81,861","84,040","84,311","81,861",3.35M,-2.59%
2018-02-02,"84,041","85,495","85,495","83,831",3.48M,-1.70%
2018-02-01,"85,495","84,913","86,028","84,833",4.21M,0.69%
2018-01-31,"84,913","84,485","86,213","84,484",4.36M,0.51%
2018-01-30,"84,482","84,697","84,697","83,804",3.68M,-0.25%
2018-01-29,"84,698","85,531","85,531","84,341",4.01M,-0.97%
2018-01-26,"85,531","83,680","85,531","83,680",5.58M,2.21%
2018-01-24,"83,680","80,679","83,680","80,679",5.67M,3.72%
2018-01-23,"80,678","81,676","81,676","80,524",3.83M,-1.22%
2018-01-22,"81,675","81,220","81,675","80,923",2.78M,0.56%
2018-01-19,"81,220","80,965","81,429","80,854",3.22M,0.32%
2018-01-18,"80,963","81,185","81,367","80,498",3.54M,-0.28%
2018-01-17,"81,189","79,832","81,189","79,828",3.44M,1.70%
2018-01-16,"79,832","79,751","80,246","79,668",3.07M,0.10%
2018-01-15,"79,752","79,349","79,847","79,349",2.00M,0.51%
2018-01-12,"79,349","79,365","79,440","78,861",3.69M,-0.02%
2018-01-11,"79,365","78,201","79,365","78,201",3.51M,1.49%
2018-01-10,"78,201","78,864","78,864","78,164",2.85M,-0.84%
2018-01-09,"78,864","79,379","79,415","78,699",3.57M,-0.65%
2018-01-08,"79,379","79,070","79,395","78,631",2.63M,0.39%
2018-01-05,"79,071","78,644","79,071","78,218",2.83M,0.54%
2018-01-04,"78,647","77,998","79,135","77,998",3.59M,0.84%
2018-01-03,"77,995","77,889","78,414","77,602",3.24M,0.13%
2018-01-02,"77,891","76,403","77,909","76,403",2.97M,1.95%
2017-12-28,"76,402","76,077","76,437","76,077",2.15M,0.43%
2017-12-27,"76,073","75,708","76,293","75,708",1.85M,0.48%
2017-12-26,"75,708","75,187","75,837","74,924",1.63M,0.69%
2017-12-22,"75,187","75,128","75,227","74,623",1.97M,0.07%
2017-12-21,"75,133","73,367","75,133","73,265",3.15M,2.41%
2017-12-20,"73,367","72,680","73,492","72,680",2.29M,0.94%
2017-12-19,"72,680","73,122","73,139","72,347",2.42M,-0.60%
2017-12-18,"73,115","72,621","73,519","72,621",3.30M,0.70%
2017-12-15,"72,608","72,428","73,069","72,277",4.80M,0.25%
2017-12-14,"72,429","72,913","72,913","71,969",3.60M,-0.67%
2017-12-13,"72,914","73,827","74,622","72,569",4.63M,-1.22%
2017-12-12,"73,814","72,800","73,814","71,798",3.05M,1.39%
2017-12-11,"72,800","72,775","73,361","72,498",2.53M,0.09%
2017-12-08,"72,732","72,489","73,425","72,489",3.18M,0.34%
2017-12-07,"72,487","73,268","73,268","71,356",3.36M,-1.07%
2017-12-06,"73,268","72,535","73,418","71,906",3.20M,1.00%
2017-12-05,"72,546","73,090","74,166","72,319",3.00M,-0.74%
2017-12-04,"73,090","72,266","73,749","72,266",3.13M,1.14%
2017-12-01,"72,264","71,955","72,472","71,488",3.10M,0.41%
2017-11-30,"71,971","72,700","72,700","71,215",5.51M,-1.00%
2017-11-29,"72,700","74,146","74,515","72,700",3.75M,-1.94%
2017-11-28,"74,140","74,060","74,989","74,056",3.12M,0.11%
2017-11-27,"74,059","74,157","74,157","73,159",2.90M,-0.13%
2017-11-24,"74,157","74,503","74,542","74,093",2.59M,-0.44%
2017-11-23,"74,487","74,519","74,578","73,851",1.60M,-0.04%
2017-11-22,"74,519","74,611","75,019","74,242",3.52M,-0.10%
2017-11-21,"74,595","73,439","75,073","73,439",3.65M,1.58%
2017-11-17,"73,437","72,512","73,632","72,390",2.83M,1.28%
2017-11-16,"72,512","70,827","72,896","70,827",3.44M,2.38%
2017-11-14,"70,827","72,442","72,838","70,825",4.49M,-2.27%
2017-11-13,"72,475","72,167","72,735","71,776",2.87M,0.43%
2017-11-10,"72,166","72,932","73,019","71,920",3.24M,-1.05%
2017-11-09,"72,931","74,363","74,363","72,795",3.41M,-1.93%
2017-11-08,"74,363","72,468","74,481","72,468",3.51M,2.69%
2017-11-07,"72,415","74,306","74,306","72,386",5.04M,-2.55%
2017-11-06,"74,311","73,911","74,445","73,830",3.40M,0.53%
2017-11-03,"73,915","73,834","74,254","73,094",4.52M,0.12%
2017-11-01,"73,824","74,310","75,199","73,823",3.78M,-0.65%
2017-10-31,"74,308","74,798","75,142","74,145",3.66M,-0.66%
2017-10-30,"74,800","75,973","75,973","74,305",3.93M,-1.55%
2017-10-27,"75,976","75,898","76,617","75,601",3.54M,0.10%
2017-10-26,"75,896","76,671","77,061","75,813",2.99M,-1.01%
2017-10-25,"76,671","76,350","76,883","75,404",3.05M,0.42%
2017-10-24,"76,350","75,426","76,420","75,426",3.14M,1.24%
2017-10-23,"75,413","76,398","76,498","75,315",2.71M,-1.28%
2017-10-20,"76,391","76,291","76,971","76,291",2.73M,0.14%
2017-10-19,"76,283","76,591","76,591","75,366",2.59M,-0.40%
2017-10-18,"76,591","76,211","76,730","76,012",3.25M,0.51%
2017-10-17,"76,201","76,892","76,892","76,046",2.86M,-0.90%
2017-10-16,"76,892","76,985","77,382","76,565",3.17M,-0.13%
2017-10-13,"76,990","76,659","77,319","76,659",3.30M,0.43%
2017-10-11,"76,660","76,910","76,985","76,323",3.90M,-0.31%
2017-10-10,"76,897","75,745","76,996","75,745",3.60M,1.55%
2017-10-09,"75,727","76,055","76,067","75,181",2.41M,-0.43%
2017-10-06,"76,055","76,618","76,618","75,603",3.09M,-0.73%
2017-10-05,"76,618","76,592","78,024","76,592",4.24M,0.03%
2017-10-04,"76,591","76,763","77,004","76,422",3.22M,-0.22%
2017-10-03,"76,763","74,363","76,763","74,363",3.93M,3.23%
2017-10-02,"74,360","74,295","74,506","73,845",2.59M,0.09%
2017-09-29,"74,294","73,571","74,518","73,571",3.22M,0.99%
2017-09-28,"73,567","73,808","74,011","73,277",3.18M,-0.31%
2017-09-27,"73,797","74,358","74,744","73,125",3.91M,-0.70%
2017-09-26,"74,319","74,443","74,971","74,319",3.68M,-0.17%
2017-09-25,"74,443","75,381","75,470","74,303",3.48M,-1.26%
2017-09-22,"75,390","75,618","75,734","75,029",2.89M,-0.28%
2017-09-21,"75,604","76,014","76,251","75,282",3.33M,-0.53%
2017-09-20,"76,004","75,974","76,420","75,074",4.01M,0.04%
2017-09-19,"75,974","75,990","76,071","75,300",3.12M,-0.02%
2017-09-18,"75,990","75,758","76,404","75,621",3.54M,0.31%
2017-09-15,"75,757","74,656","75,820","74,648",4.97M,1.47%
2017-09-14,"74,657","74,787","74,949","74,397",3.31M,-0.18%
2017-09-13,"74,788","74,543","75,146","74,196",3.33M,0.33%
2017-09-12,"74,539","74,322","75,332","74,294",3.70M,0.30%
2017-09-11,"74,319","73,096","74,636","73,096",3.38M,1.70%
2017-09-08,"73,079","73,413","73,646","72,925",3.21M,-0.45%
2017-09-06,"73,412","72,157","73,608","72,157",4.37M,1.75%
2017-09-05,"72,151","72,134","73,180","71,827",4.36M,0.03%
2017-09-04,"72,129","71,921","72,141","71,671",2.06M,0.29%
2017-09-01,"71,923","70,848","72,217","70,846",4.01M,1.54%
2017-08-31,"70,835","70,887","71,234","70,516",4.38M,-0.07%
2017-08-30,"70,886","71,328","71,454","70,755",2.75M,-0.62%
2017-08-29,"71,330","71,005","71,330","70,517",2.35M,0.44%
2017-08-28,"71,017","71,074","71,390","70,909",2.26M,-0.08%
2017-08-25,"71,074","71,138","71,506","70,801",2.49M,-0.08%
2017-08-24,"71,133","70,482","71,238","70,482",3.21M,0.93%
2017-08-23,"70,478","70,011","70,587","69,947",3.45M,0.67%
2017-08-22,"70,011","68,645","70,278","68,645",4.03M,2.01%
2017-08-21,"68,635","68,713","69,068","68,514",2.72M,-0.12%
2017-08-18,"68,715","67,990","68,808","67,979",3.57M,1.09%
2017-08-17,"67,977","68,596","68,596","67,866",2.74M,-0.90%
2017-08-16,"68,594","68,356","68,950","68,304",3.87M,0.35%
2017-08-15,"68,355","68,296","68,846","68,293",2.84M,0.10%
2017-08-14,"68,285","67,364","68,642","67,226",2.91M,1.37%
2017-08-11,"67,359","66,992","67,623","66,678",2.98M,0.55%
